Mol. wt.,CRC Vc /(cm3 mol-1)
143.18900000000005,447.0
152.14900000000006,436.0
86.13399999999994,292.0
124.20799999999994,374.0
100.039,219.0
128.17399999999995,408.0
72.15099999999997,311.6
61.04000000000001,175.0
268.529,1216.0
266.51300000000003,1196.0
142.2420000000001,546.0
128.2589999999999,547.0
188.22300000000013,586.0
158.24100000000016,592.0
144.25800000000012,555.0
144.25800000000012,577.0
142.2420000000001,560.0
142.2420000000001,560.0
142.2420000000001,560.0
142.2420000000001,560.0
126.2429999999999,529.0
394.772,1916.0
254.50200000000032,1167.0
284.48399999999947,1251.0
270.5009999999999,1157.0
252.4860000000003,1119.0
128.21499999999992,489.0
114.2319999999999,490.0
144.26200000000014,547.0
174.1960000000001,520.0
125.21499999999992,494.0
144.21400000000014,522.0
130.23099999999994,490.0
130.23099999999994,519.0
130.23099999999994,515.0
128.21499999999992,497.0
128.21499999999992,497.0
128.21499999999992,497.0
112.21599999999992,464.0
112.21599999999992,471.0
112.21599999999992,472.0
129.24699999999993,494.0
190.33000000000013,746.0
69.06299999999999,185.0
44.05300000000001,138.0
132.159,410.0
278.3539999999997,806.0
370.0549999999999,644.0
212.42100000000028,938.0
242.40300000000025,1002.0
228.42000000000027,961.0
210.40500000000023,933.0
168.064,322.0
120.02,210.0
134.04700000000005,273.0
86.13399999999994,313.0
72.15099999999997,310.0
132.115,343.0
83.13399999999996,320.0
102.13299999999994,347.0
88.14999999999993,331.0
88.14999999999993,340.0
88.14999999999993,325.0
86.13399999999994,324.0
86.13399999999996,319.0
70.13499999999998,301.0
70.13499999999998,301.0
148.24900000000014,559.0
192.25800000000007,661.0
166.01999999999998,329.0
238.024,380.0
200.028,316.0
300.0419999999999,424.0
262.04599999999994,434.0
538.066,892.0
338.03799999999995,523.0
164.07300000000004,366.0
218.043,409.0
388.0449999999999,603.0
350.04899999999986,555.0
338.03799999999995,552.0
300.0419999999999,462.0
238.024,396.0
200.053,369.0
350.0489999999999,561.0
338.03799999999995,585.0
338.03799999999995,511.0
272.09399999999994,464.0
488.0589999999999,846.0
438.0519999999999,738.0
166.01999999999998,274.0
288.03099999999995,463.0
264.04299999999995,496.0
188.017,301.0
236.06099999999995,423.0
94.11299999999996,283.0
136.15000000000006,407.0
86.13799999999995,283.0
85.14999999999995,294.0
58.08000000000002,218.0
44.09700000000002,199.0
74.12699999999995,257.0
76.09499999999997,237.0
76.09499999999996,255.0
55.08000000000001,211.0
76.16399999999996,286.0
74.07899999999998,232.0
60.096000000000025,220.0
60.096000000000025,226.0
42.08100000000002,184.0
104.14899999999994,364.0
118.17599999999992,417.0
102.13299999999995,346.0
59.11200000000002,230.0
120.19499999999992,441.0
164.2040000000001,530.0
130.18699999999995,463.0
126.2429999999999,489.0
132.159,432.0
130.18699999999995,463.0
144.21400000000014,523.0
116.15999999999994,403.0
40.06500000000001,160.0
80.08999999999997,225.0
79.10199999999998,248.0
67.09099999999998,222.0
71.12299999999998,259.0
129.16199999999998,382.0
110.11199999999997,292.0
104.15199999999994,357.0
118.08799999999997,308.0
230.3100000000001,737.0
230.3100000000001,747.0
230.3100000000001,713.0
153.823,276.0
338.6639999999991,1585.0
198.39400000000023,870.0
228.37600000000023,921.0
214.39300000000023,887.0
212.37700000000024,896.0
196.37800000000024,851.0
194.2270000000001,608.0
150.074,312.0
150.074,311.0
150.074,309.0
102.03,200.0
102.03,192.0
100.014,183.0
168.036,315.0
88.00300000000001,140.0
72.10699999999997,223.0
132.206,431.0
86.13399999999996,278.0
88.17499999999995,276.0
134.222,489.0
142.2860000000001,574.0
142.2860000000001,600.0
128.2589999999999,514.0
