Mol. wt.,CRC Tm /K
144.55700000000004,363.65
142.58500000000006,346.15
142.58500000000006,348.15
156.568,413.55
156.56800000000004,427.35
137.56900000000002,314.15
137.56900000000002,364.75
169.63600000000002,297.15
168.58300000000006,457.65
153.56800000000004,280.15
175.01400000000004,269.15
188.61700000000005,369.15
188.65700000000007,304.92999999999995
188.65700000000007,348.54999999999995
88.53699999999998,143.14999999999998
122.55099999999996,289.15
90.55299999999995,155.84999999999997
170.0830000000001,239.15
156.0560000000001,213.15
124.99799999999998,259.15
189.04100000000005,374.65
182.60600000000005,485.15
182.60600000000005,438.15
118.60699999999994,228.15
176.7310000000002,241.85
316.5709999999998,520.15
100.495,142.71999999999997
98.479,134.64999999999998
86.468,115.73
271.6999999999997,380.15
140.61300000000008,273.95
140.61300000000008,267.15
156.61200000000005,356.15
136.57800000000006,314.15
217.568,420.15
202.55300000000005,361.15
252.61300000000003,419.65
270.54999999999995,330.15
230.69400000000007,341.65
204.78500000000025,263.85
62.49900000000001,119.30999999999996
156.61200000000005,290.25
140.61300000000008,218.15
140.61300000000008,210.65
130.549,230.15
68.478,137.99999999999997
216.483,234.05
134.65,203.75
322.87599999999946,462.15
172.567,444.15
232.66600000000005,368.45
238.45500000000004,326.72
305.50199999999995,451.65
50.48800000000001,175.51
157.60000000000008,325.15
141.60100000000006,280.15
141.60100000000006,274.15
141.60100000000006,303.45
126.58599999999996,233.75
170.59500000000006,293.65
106.59599999999996,200.55
184.6660000000001,336.15
80.51399999999998,169.64999999999998
176.64600000000007,321.65
171.58300000000006,319.15
171.58300000000003,344.15
171.58300000000006,315.65
171.58300000000006,339.65
142.58500000000006,328.65
142.58500000000006,328.15
228.6750000000001,373.55
92.56899999999996,247.55
162.61900000000006,331.17
207.05600000000007,404.35
172.57100000000003,381.55
172.57100000000003,376.15
172.57100000000003,398.95
157.55600000000004,316.75
157.55600000000004,355.35
201.56500000000003,414.95
173.55500000000004,380.65
173.555,312.15
123.53899999999996,251.65
225.553,295.15
162.70400000000015,233.75
148.67700000000016,215.35
182.475,140.14999999999998
106.59599999999996,168.14999999999998
136.57800000000006,291.15
128.55799999999996,316.25
233.72300000000004,471.65
186.59400000000005,383.15
200.62100000000007,386.15
169.61100000000005,349.75
169.61100000000005,451.55
182.6500000000001,292.65
198.65300000000008,441.45
256.68800000000005,418.65
211.64800000000008,379.65
184.62200000000007,350.15
168.62300000000008,322.65
78.54199999999997,150.24999999999997
78.54199999999997,156.04999999999998
108.52399999999996,314.15
76.52599999999998,135.74999999999997
76.52599999999998,137.14999999999998
152.62400000000005,281.65
213.6640000000001,315.65
128.56199999999998,410.15
319.8799999999994,363.15
163.60700000000003,308.04999999999995
163.60700000000006,253.15
138.5970000000001,210.05
138.5970000000001,289.04999999999995
136.47500000000002,156.14999999999998
265.914,526.25
118.58799999999998,201.3
126.58599999999996,225.35
126.58599999999996,280.54999999999995
118.485,167.64999999999998
104.458,91.99999999999996
195.57100000000003,309.65
180.55600000000004,240.15
132.51200000000006,179.41999999999996
247.55,355.15
290.74999999999966,425.15
245.6620000000001,363.15
315.8689999999996,370.25
212.6800000000001,420.15
368.64899999999926,353.15
384.6479999999993,423.65
372.6809999999992,345.15
388.6799999999992,414.65
386.6639999999993,405.15
428.7009999999993,387.75
651.1170000000033,321.04999999999995
384.6479999999993,354.65
408.5789999999994,471.15
228.29400000000007,528.15
258.3610000000001,327.15
132.162,265.65
148.16100000000006,407.15
253.3010000000001,337.15
250.29400000000007,248.15
312.3279999999998,663.15
175.18800000000013,495.15
303.1519999999998,455.15
315.7159999999998,510.65
192.04500000000007,593.15
218.68300000000008,321.65
285.3429999999996,493.65
536.4450000000012,554.15
358.3899999999997,468.65
550.6450000000018,511.15
300.3599999999998,710.45
108.13999999999994,285.35
108.13999999999994,307.92
171.63100000000009,360.15
356.37399999999974,404.65
368.3849999999997,456.15
307.3489999999997,365.15
240.6980000000001,438.75
85.06199999999997,339.15
99.09299999999998,387.65
147.13300000000004,493.15
113.11599999999996,318.15
61.471,266.6
45.016000000000005,191.15
160.17600000000007,472.65
110.141,331.15
276.3759999999996,325.15
56.10800000000002,182.45
144.12600000000006,431.15
70.09099999999998,222.25
168.23600000000013,314.15
168.3240000000002,333.95
162.27600000000015,256.15
94.15699999999994,162.74999999999997
126.15499999999992,233.15
92.14099999999996,197.97
106.12399999999997,268.15
80.12999999999995,224.15
84.16199999999994,279.85
109.17199999999994,285.15
172.1800000000001,585.65
144.21400000000014,316.15
116.15999999999993,368.15
112.12799999999996,378.15
112.12799999999996,351.54999999999995
156.22500000000014,289.15
98.14499999999994,245.22
110.15599999999992,274.15
126.15499999999992,290.15
96.12899999999996,220.15
124.18299999999992,346.15
281.3519999999995,392.15
99.17699999999994,255.45
160.26000000000013,280.17
204.2690000000001,263.15
266.2529999999998,378.65
116.15999999999993,253.15
176.25900000000013,403.75
126.2429999999999,283.85
108.18399999999993,220.15
112.21599999999992,287.97
128.21499999999992,298.25
106.16799999999994,187.15
110.19999999999992,214.15
210.40500000000023,337.15
224.38800000000023,338.35
70.13499999999998,179.74999999999997
114.14399999999992,266.15
102.13299999999994,303.15
86.13399999999994,256.15
68.11899999999999,138.12999999999997
280.45199999999954,341.15
85.14999999999995,190.46
42.08100000000002,145.54999999999998
86.08999999999996,291.65
