Mol. wt.,JR Tm /K,CRC Tm /K
145.2020000000001,296.66,330.15
165.2360000000001,312.36,349.65
165.2360000000001,312.36,313.15
165.2360000000001,312.36,313.15
183.20700000000008,539.53,484.65
733.9370000000029,1082.8200000000002,464.15
862.064,1174.2800000000002,495.15
1018.4210000000038,1413.5399999999995,365.15
421.57799999999946,635.8,388.15
333.26599999999974,608.4100000000001,330.15
204.31400000000025,399.42,362.15
60.100000000000016,278.82,284.29
144.22400000000005,333.62,363.15
58.08400000000001,264.34000000000003,238.15
61.08400000000002,256.38,283.54999999999995
395.4989999999996,668.84,373.15
209.2930000000001,561.8799999999999,434.35
253.3050000000001,661.0000000000001,499.15
137.18200000000007,324.35,252.15
137.18200000000007,324.35,277.85
165.1920000000001,385.55,406.15
152.1970000000001,420.13,344.65
122.12699999999997,290.55,339.15
182.1790000000001,480.48,369.65
167.16400000000007,384.7000000000001,274.25
167.16400000000007,384.7000000000001,333.15
224.2160000000001,522.35,397.15
179.2190000000001,366.22,352.15
179.2190000000001,366.22,408.15
209.2450000000001,423.31,391.15
180.2070000000001,438.21,446.65
45.085000000000015,195.56,192.15
165.1920000000001,355.72,287.45
165.1920000000001,355.72,362.75
132.11900000000003,363.02,469.65
121.18299999999994,302.12,226.15
121.18299999999994,302.12,209.15
121.18299999999994,302.12,268.04999999999995
121.18299999999992,259.0,209.75
149.19300000000007,320.20000000000005,343.65
163.2200000000001,347.07000000000005,359.15
146.19300000000007,442.16,449.65
101.19299999999993,225.64,398.15
145.20200000000014,263.64,251.15
89.09399999999997,249.16000000000005,321.4
113.11599999999996,253.43,247.05
277.32299999999964,419.78,383.65
169.1800000000001,290.42999999999995,325.15
201.22500000000008,339.70000000000005,324.15
218.2560000000001,629.1999999999999,554.65
193.24600000000007,327.47,339.65
123.19899999999993,339.17,273.15
167.20800000000008,392.77,398.15
167.2080000000001,392.77,351.65
167.2080000000001,392.77,390.65
167.2080000000001,392.77,384.45
593.0380000000033,723.2,422.15
43.06900000000001,239.51,195.15
225.3350000000001,400.62000000000006,302.15
175.1840000000001,439.84,464.15
104.10899999999997,301.82000000000005,318.95
89.13799999999993,228.13,283.15
145.20200000000014,248.64,208.15
135.21000000000004,325.91,240.15
135.21,282.7900000000001,258.15
226.27600000000007,644.73,403.15
155.19700000000012,452.67,399.65
141.1700000000001,444.92,337.65
151.16500000000008,362.47,260.95
151.16500000000008,362.47,260.85
195.1740000000001,416.07,320.15
195.1740000000001,416.07,330.15
