SMILES,BoilingPoint,MeltingPoint,CriticalTemp,CriticalPress,CriticalVolume,Molecular Weight,EnthalpyVap,Log P
CC(=O)C1=CC(=CC=C1)N,540.7,352.05000000000007,774.654974090105,41.62330905306972,410.5,135.16600000000005,53.727,1.4713999999999998
CC(=O)C1=CC=C(C=C1)N,540.7,352.05000000000007,774.654974090105,41.62330905306972,410.5,135.16600000000005,53.727,1.4713999999999998
C(CN)C#N,442.85,271.82,651.9080340521956,46.02619074358073,258.5,70.09499999999997,43.391000000000005,-0.1412199999999998
CC(CO)N,432.51,252.65,613.6789841558987,54.95106333055099,245.5,75.11099999999996,49.20400000000001,-0.6741000000000001
C(CN)CO,432.95,267.65,610.119150583931,54.30506085153595,251.5,75.11099999999995,49.592,-0.6724999999999999
CC(CN)O,432.51,252.65,613.6789841558987,54.95106333055099,245.5,75.11099999999996,49.20400000000001,-0.6741
CN(CCCN)CCCN,517.26,367.64,705.6791578671643,31.63271632665714,503.5,145.25000000000014,54.501000000000005,-0.3841999999999987
C1CNC1,332.47,247.26,533.1069228376355,59.814014303923386,190.5,57.09600000000001,29.424,-0.0203
C1=CC=C(C=C1)C(=O)N,512.8399999999999,328.26,750.1452781160253,48.29235807238153,354.5,121.13899999999995,50.839,0.7855000000000001
C1=CC=C(C=C1)CC#N,511.4,271.33000000000004,743.1621237382085,35.43083900226757,401.5,117.15099999999995,46.156000000000006,1.75268
C1=CC=C(C(=C1)N)N,513.5999999999999,362.84,757.4662635498856,53.749107764811086,321.5,108.14399999999996,53.17,0.851
C1=CC(=CC(=C1)N)N,513.5999999999999,362.84,757.4662635498856,53.749107764811086,321.5,108.14399999999996,53.17,0.851
C1=CC(=CC=C1N)N,513.5999999999999,362.84,757.4662635498856,53.749107764811086,321.5,108.14399999999996,53.17,0.8510000000000002
C1=CC(=CC(=C1)CN)CN,559.3599999999999,385.38000000000005,793.6636761634261,41.30292556882388,433.5,136.19800000000006,57.622,0.6040000000000001
C1=CC=C(C=C1)CCN,481.85,289.6,704.9658977044666,39.16033966112209,404.5,121.18299999999994,46.319,1.1878
