SMILES,DB_MolecularWeight,DB_BoilingPoint,DB_MeltingPoint,Original_MolecularWeight,Original_BoilingPoint,Original_MeltingPoint
CCN(C1CCCCC1)C2CCCCC2,209.37,,,209.377,571.46,294.77
CCNC(C)OC,103.16,,,103.165,386.15,206
CCCNCC,87.16,,,87.166,364.17,198.77
CCN(C)CC(F)(F)F,141.13,,,141.136,321.02,182.77
CCNCC(F)(F)C(F)(F)F,177.12,,,177.116,354.06,206.56
CCNCC(F)F,109.12,,,109.119,339.39,173.68
CCNCC(F)CF,123.14,,,123.146,362.27,184.95
CCNC(C)CC,101.19,,,101.193,386.61,195.04
CCNCCN(C)C,116.20,,,116.208,399.49,242.51
CCNCCF,91.13,,,91.129,340.56,188.09
CCN(C)CCF,105.15,,,105.156,325.71,179.17
CCNCCOC,103.16,,,103.165,386.59,221
CCNCC(C)=C,99.17,,,99.177,383.61,194.32
CCNc1ccccc1C,135.21,,,135.21,487.35,282.79
CCNCC(C)C,101.19,,,101.193,386.61,195.04
CCNC(C)(C)C,101.19,,,101.193,383.82,212.46
CCN(C)CCC(F)(F)F,155.16,,,155.163,343.9,194.04
CCNCCC(F)(F)F,141.13,,,141.136,358.75,202.96
CCN(C)CCCF,119.18,,,119.183,348.59,190.44
CCNCCCF,105.15,,,105.156,363.44,199.36
CCNc1cccc(C)c1,135.21,221.0,,135.21,487.35,282.79
CCNc1ccc(C)cc1,135.21,,,135.21,487.35,282.79
CCNc1ccc(cc1)[N+]([O-])=O,166.18,,,166.18,616.31,415.13
CCNC(C)=O,87.12,205.0,,87.122,395.16,237.43
CCNc1ccccc1,121.18,204.5,-63.5,121.183,459.49,259
CCN(C(C)C)C(C)C,129.24,,,129.247,394.2,182.39
CCNCCN,88.15,,,88.154,413.82,270.76
CCNC(C)C,87.16,,,87.166,363.73,183.77
NCNCC,74.13,,,74.127,390.94,259.49
CCN(C)C(C)(C)C,115.22,,,115.22,368.97,203.54
CCN(C)CN(C)C,116.20,,,116.208,361.76,222.32
CNCN(C)CC,102.18,,,102.181,376.61,231.24
CCNCN(C)C,102.18,,,102.181,376.61,231.24
CCCCNCC,101.19,107.5,-78.0,101.193,387.05,210.04
CCN(O)CC,89.14,130.0,10.0,89.138,395.74,228.13
CCN(C)c1ccccc1,135.21,,,135.21,444.64,250.08
NCN(C)CC,88.15,,,88.154,376.09,250.57
CNCNCC,88.15,,,88.154,391.46,240.16
CCN(C(C)=O)c1ccccc1,163.22,,,163.22,521.39,311.28
FN(F)F,71.002,-128.75,-208.79,71.001,209.85,124
ONC(=O)c1ccccc1[N+]([O-])=O,182.13,,,182.135,739.48,514.61
ONC(=O)c1cccc(c1)[N+]([O-])=O,182.13,,,182.135,739.48,514.61
Cc1ccc(NO)cc1,123.15,,,123.155,533.77,321.07
ONC(=O)c1ccc(cc1)[N+]([O-])=O,182.13,,,182.135,739.48,514.61
ON(C)C,61.08,,,61.084,349.98,205.59
NC(=O)c1cccnc1,122.12,157.0,128.8,122.127,543.66,388.53
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O,327.12,,-230.0,327.123,976.7,744.43
CCCCC/C=C/C=C/C(=O)NCC(C)C,,,,223.36,631.84,324.97
CC(C)NCCO,103.16,,,103.165,455.91,244.59
O[C@@H]1CCCC[C@@]12CCCNC2,169.26,,,169.268,604.2,410.49
NC(=O)N[N+]([O-])=O,105.05,,,105.053,550.89,430.49
CNCCN,74.13,,,74.127,390.94,259.49
CNCCCN,88.15,,,88.154,413.82,270.76
CNc1ccc(N)cc1,122.17,,,122.171,514.12,343.51
CNc1cccc2ccccc12,157.21,,,157.216,552.09,338.03
CNCc1occc1,111.14,,,111.144,437.25,265.79
CNCC#C,,,,69.107,331.41,234.47
CNC(C)=O,73.09,205.0,28.0,73.095,372.28,226.16
CN(C(C)=O)c1ccccc1,149.19,,,149.193,498.51,300.01
CNc1ccccc1,107.15,196.25,-57.0,107.156,436.61,247.73
CNC(=O)c1ccccc1,135.16,,,135.166,513.36,308.93
CNCCc1ccccc1,135.21,,,135.21,482.37,270.27
CCC(C)NC,87.16,,,87.166,363.73,183.77
CCCC(=O)NC,101.15,,,101.149,418.04,248.7
CCCCNC,87.16,91.0,-75.0,87.166,364.17,198.77
CNC1CCCCC1,113.20,,,113.204,429.48,228.69
CCCCCCCCCC(=O)NC,185.31,,,185.311,555.32,316.32
CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,195.21,,,195.215,869.07,465.41
CCCCCCCCCCCC(=O)NC,213.36,,,213.365,601.08,338.86
CNCC(O)=O,89.09,,208.0,89.094,463.92,336.83
CCCCCCC(=O)NC,143.23,,,143.23,486.68,282.51
CCCCCCCCCCCCCCCC(=O)NC,269.5,,,269.473,692.6,383.94
CCCCCC(=O)NC,129.20,,,129.203,463.8,271.24
CNO,47.057,,,47.057,364.83,214.51
NCNC,60.10,,,60.1,368.06,248.22
CC(C)N(C)CC(F)(F)F,155.16,,,155.163,343.46,179.04
CCN(C)Cc1cc(C(F)(F)F)ccc1,217.23,,,217.234,489.96,289.33
CNC(=O)c1cccnc1,136.15,,103.5,136.154,544.18,369.2
CCCCCCCCC(=O)NC,171.28,,,171.284,532.44,305.05
NCN(C)C(C)C,102.18,,,102.181,398.53,246.84
CCCCCCCC(=O)NC,157.25,,,157.257,509.56,293.78
CNc1ccccc1[N+]([O-])=O,152.15,,,152.153,593.43,403.86
CNC(=O)C(=O)CCc1cccnc1,192.21,,,192.218,666.69,452.94
CCCCCCCCCCCCCCC(=O)NC,255.44,,,255.446,669.72,372.67
CCCCCNC,101.19,,,101.193,387.05,210.04
CCC(CC)NC,101.19,,,101.193,386.61,195.04
CCCCC(=O)NC,115.17,,,115.176,440.92,259.97
CN1CCCCC1,99.17,,,99.177,369.27,204.99
CCC(=O)NC,87.12,,,87.122,395.16,237.43
CCCNC,73.14,,,73.139,341.29,187.5
CNc1ccncc1,108.14,,,108.144,467.43,308
CCCCCCCCCCCCCC(=O)NC,241.41,,,241.419,646.84,361.4
CCCCCCCCCCCCC(=O)NC,227.39,,,227.392,623.96,350.13
CCCCCCCCCCC(=O)NC,199.33,,,199.338,578.2,327.59
CCOC(=O)NC,103.12,170.0,,103.121,399.51,229.83
O=N(=O)Nc1ccccc1,138.12,,,138.126,565.57,380.07
[O-][N+](=O)N(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,388.12,,,388.118,1359.98,1177.42
CC(CN(CC(C)([N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,326.18,,,326.178,1102.06,912.74
CCCCCCCCC(N)CCCCCCC,241.46,,,241.463,637.77,338.34
CCCCCCCCC(N)=O,157.25,,,157.257,531.92,324.38
CNC1=C(Cl)C(=O)N(N=C1)c2cccc(c2)C(F)(F)F,303.67,,184.0,303.671,750.19,564.64
CNCCC=C1c2ccccc2CCc3ccccc13,263.4,,215.0,263.384,765.86,466.97
CCCCCC(N)CCCC,157.30,,,157.301,500.49,270.72
CCCCCN,87.16,,,87.166,386.53,229.37
Nc1ccc(Nc2ccccc2)cc1,184.24,354.0,75.0,184.242,655.2,426.28
N(c1ccccc1)c2cccc3ccccc23,219.28,335.0,61.0,219.287,693.17,420.8
N(c1ccccc1)c2ccc3ccccc3c2,219.28,395.5,108.0,219.287,693.17,420.8
Fc1nc(F)c(F)c(Nc2ccccc2)c1F,242.17,,,242.175,625.51,443.21
O=C(Nc1ccccc1)c2ccccc2,197.23,,,197.237,654.44,391.7
N(c1ccccc1)c1ccccc1,169.22,302.0,-54.0,169.227,577.69,330.5
N(Cc1ccccc1)c1ccccc1,183.25,,,183.254,600.57,341.77
OC(=O)CNc1ccccc1,151.16,,,151.165,605,419.6
NNC(=O)Nc1ccccc1,151.17,,,151.169,613.18,433.58
ONc1ccccc1,109.13,,82.0,109.128,505.91,297.28
NCNC(C)C,88.15,,,88.154,413.38,255.76
CCCN,59.11,-49.0,-83.0,59.112,340.77,206.83
CCCNc1ccccc1,135.21,,,135.21,482.37,270.27
CCCC(N)N,88.15,,,88.154,435.74,286.36
CC(C)(C)NCCO,117.19,,,117.192,476,273.28
CC(C)NC(C)(C)C,115.22,,,115.22,406.26,208.73
CN(C(=O)C(C)(C)C)C(C)(C)C,171.28,,,171.284,488.25,289.7
CCCCCCCCCCCN,171.32,,,171.328,523.81,296.99
C1CCC(=O)NCC1.C(CCCN)CCN.C(CCC(=O)O)CC(=O)O,375.5,,,375.51,1195.18,896.21
CNOC,61.08,42.4,,61.084,317.95,187.19
CCOC(=O)c1ccccc1N,165.19,268.0,13.0,165.192,567.93,355.72
COc1ccccc1N,123.15,224.0,6.2,123.155,486.37,313.08
O=C(OCc1ccccc1)N,151.16,,,151.165,540.07,331.93
CN(C)c1ccccc1Cl,155.62,,,155.628,464.17,281.25
CCCCCCCCCCCCCCCCCC(N)=O,283.5,250.0,107.0,283.5,737.84,425.81
CCCCCCCCCCCCCCCCCCN,269.5,346.8,52.9,269.517,683.97,375.88
CCCCCCCC(N)=O,143.23,,,143.23,509.04,313.11
Nc1ccccc1F,111.12,,,111.119,440.34,280.17
CC(=O)Nc1ccccc1O,151.16,,,151.165,593.98,420.65
NC(=O)c1ccccc1O,137.14,181.5,140.0,137.138,593.46,439.98
COc1ccccc1NC(C)=O,165.19,,,165.192,563.64,354.95
CON,47.057,-50.0,,47.057,317.43,206.52
O=C(Oc1ccccc1)N,137.14,,,137.138,517.19,320.66
OC(=O)C(O)=O,90.03,,189.5,90.034,536.38,433.5
NC(=O)C(O)=O,89.05,,,89.05,517.27,406.09
NNC(=O)C(N)=O,103.08,,,103.081,548.33,431.34
NC(=O)C1CCCCO1,129.16,,,129.159,509.78,324.52
Nc1occn1,84.08,,,84.078,444.67,334.12
OC(=O)C(=O)Nc1ccccc1,165.15,,,165.148,658.87,469.53
CC(=O)Nc1ccc(N)cc1,150.18,,,150.181,590.87,404.71
CC(O)c1ccc(N)cc1,137.18,,,137.182,578.57,347.94
COc1ccc(N)cc1,123.15,243.0,57.2,123.155,486.37,313.08
CCC(CC)C(=O)N(C)c(ccc1)cc1C,219.32,,,219.328,617.45,353.88
CC(=O)Nc1ccc(Cl)cc1,169.61,333.0,-179.0,169.611,555.77,351.37
CN(C)c1ccc(cc1)C#N,,,,146.193,551.7,327.59
CN(C)c1ccncc1,122.17,,,122.171,452.58,299.08
CC(C)(S)C(N)C(O)=O,149.21,,198.5,149.215,591.23,413.85
CCC(CC)Nc1c(cc(C)c(C)c1[N+]([O-])=O)[N+]([O-])=O,281.31,,-57.0,281.312,897.05,637.65
ClN(Cl)c1ccc(Cl)c(Cl)c1Cl,265.3,,,265.354,578.09,403.43
CCCCCCCCCCCCCCC(=O)N,241.41,,,241.419,669.2,392
NC(F)(F)C(F)(F)CF,149.06,,,149.062,330.66,214.62
FN(F)C(F)(F)F,121.009,,,121.008,228.04,138.87
CCCCC(N)=O,101.15,,,101.149,440.4,279.3
Nc1ccc(F)cc1,111.12,188.0,-1.9,111.119,440.34,280.17
NC(=O)c1ccc(F)cc1,139.13,,,139.129,517.09,341.37
CCOc1ccc(NC(C)=O)cc1,179.22,-245.0,-135.0,179.219,586.52,366.22
N1c2ccccc2Sc3ccccc13,199.27,371.0,185.1,199.278,641,517.06
NC(=O)COc1ccccc1,151.16,,,151.165,558.14,361.76
N[C@@H](Cc1ccccc1)C(O)=O,165.19,,283.0,165.192,649.8,446.47
O=C(Oc1ccccc1)N(c2ccccc2)c3ccccc3,289.3,,,289.334,785.02,457.95
CC(C)(C)[N+]([O-])=Cc1ccccc1,177.24,,,177.247,478.05,290.95
NC(=O)Nc1ccccc1,136.15,,,136.154,563.01,380.92
NC(=O)c1ccc(O)cc1,137.14,,,137.138,593.46,439.98
OC(CCc(cc1)ccc1O)=O,166.17,,129.0,166.176,658.33,489.93
NC(=O)c1ccccn1,122.12,,,122.127,543.66,388.53
Nc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,228.12,,,228.12,906.55,735.45
CC(C)c1ccc(N)cc1,135.21,,,135.21,509.27,298.39
COc1ccc(cc1)C(=O)N,151.16,,,151.165,563.12,374.28
CNc1ccc(cc1)[N+]([O-])=O,152.15,,,152.153,593.43,403.86
CCN(CC)CCOC(=O)c1ccc(N)cc1,236.31,,61.0,236.315,671.89,433.27
CCCN(CC1CC1)c2c(cc(cc2[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,347.29,,32.5,347.293,878.98,653.34
CN(C)CCCN1c2ccccc2Sc3ccccc13,284.4,-210.0,25.0,284.428,727.46,536.84
COc1nc(NC(C)C)nc(NC(C)C)n1,225.29,,92.0,225.296,748.02,566.09
CSc1nc(NC(C)C)nc(NC(C)C)n1,241.36,,119.0,241.364,794.38,578.26
CC(C)N(C(=O)CCl)c1ccccc1,211.69,110.0,77.0,211.692,581.26,337.47
CCC(N)=O,73.09,,,73.095,394.64,256.76
NC(=O)CC(N)=O,102.09,,,102.093,521.04,389.95
CCC(=O)Nc1ccc(Cl)c(Cl)c1,218.08,351.0,92.0,218.083,621.06,405.08
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,229.71,,229.7,229.715,740.15,562.51
CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c2ccccc2,339.5,,75.5,339.479,823.31,452.76
CC(C)NCC(O)COc1cccc2ccccc12,259.34,,96.0,259.349,780.21,447.43
CNC(C)CC1CCCCC1,155.28,,,155.285,497.68,247.5
Nc1ccc(cc1)C(F)(F)F,161.12,,,161.126,458.53,295.04
NC(=O)c1cnccn1,123.11,,192.0,123.115,574.48,448.8
NC1=C(Cl)C(=O)N(N=C1)c2ccccc2,221.64,,206.0,221.647,727.23,555.99
Nc1cc(N)nc(N)n1,125.13,,,125.135,652.75,579.16
ONC(=O)c1ccccc1O,153.14,,,153.137,663.28,470.2
CCNc1nc(NC(C)CC)nc(OC)n1,225.29,,,225.296,748.46,581.09
NNC(N)=O,75.07,,,75.071,471.58,370.14
N[C@@H](CO)C(O)=O,105.09,,228.0,105.093,578.02,413.25
CCNc1nc(Cl)nc(NCC)n1,201.66,,227.0,201.661,695.27,569.97
NC(=O)CCC(N)=O,116.12,,,116.12,543.92,401.22
CCNc1nc(Cl)nc(NC(C)(C)C)n1,229.71,,175.5,229.715,737.8,594.93
CCNc1nc(NC(C)(C)C)nc(SC)n1,241.36,-160.0,104.0,241.364,792.03,610.68
NC(=O)c1ccc(cc1)C(N)=O,164.16,,,164.164,667.1,485.24
CC(C)(C)NC1CCCCC1,155.28,,,155.285,494.89,264.92
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,,,,444.44,1512.2,1156.81
CCCCCCCCCCCCCC(N)=O,227.39,,,227.392,646.32,380.73
NCCNCCNCCNCCN,189.30,340.3,-30.0,189.307,678.21,504.42
NCC1CCCO1,101.15,,,101.149,428.76,266.84
CC(C)(N)C(C)(C)CN,130.23,,,130.235,498.36,340.01
CN(C)CN(C)C,102.18,,,102.181,338.88,211.05
CCSC(=O)N,105.16,,,105.162,463.42,291.16
C[C@@H](O)[C@H](N)C(O)=O,119.12,,256.0,119.12,600.46,409.52
OC(=O)c1ccccc1Nc(cccc1Cl)c1C,261.70,,207.5,261.708,821.33,581.12
C/C=C/C(N)=O,,,,85.106,421.68,262.95
CCCCCC/C=C/C(N)=O,,,,155.241,536.08,319.3
[Cl-].N[C@@H]1C[C@H]1c2ccccc2.[H+],169.65,,,169.655,544.93,328.12
C1=CC=C(C=C1)CC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3,,,,283.374,858.97,473.1
C(N(Cc1ccccc1)Cc2ccccc2)c3ccccc3,287.4,,,287.406,772.56,438.16
NC(=O)C(Cl)(Cl)Cl,162.40,,,162.403,480.82,337.67
ClNc1nc(NCl)nc(NCl)n1,229.45,,,229.458,728.78,637.39
CCCCCCCCCCCCC(=O)N,213.36,,,213.365,623.44,369.46
OCCN(CCO)CCO,149.19,350.0,21.5,149.19,625.86,372.31
CCN(CC)CC,101.19,88.8,-114.7,101.193,349.32,189.85
CC(F)C(N)(F)F,113.08,,,113.082,334.91,196.02
CN(C)CC(F)(F)F,127.11,,,127.109,298.14,171.5
NC(F)(F)F,85.029,,,85.028,289.59,188.48
CN(C)CCCN1c2ccccc2Sc3ccc(cc13)C(F)(F)F,352.4,176.0,,352.425,749.9,564.82
CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,335.28,-140.0,42.0,335.282,849.36,624.13
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,290.32,,-203.0,290.323,917.9,739.27
CN(C)C,59.11,2.87,-117.08,59.112,280.68,156.04
Cc1oc(C)c(C)n1,111.14,134.0,,111.144,450.74,309.71
CCCCN(CCCC)CCCC,185.35,207.0,-70.0,185.355,486.6,257.47
NC(CO)(CO)CO,121.14,-220.0,-172.0,121.136,636.96,402.98
FC(F)N(C(F)F)C(F)F,167.05,,,167.052,274.98,114.58
FC(F)(F)N(C(F)(F)F)C(F)(F)F,221.02,,,221.022,264.42,168.61
N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,204.22,,282.0,204.229,764.64,622.02
CCCCCCCCCCC(=O)N,185.31,,,185.311,577.68,346.92
NC1C(=O)NC(=O)NC1=O,143.10,,,143.102,683.76,640.2
O=C1NNC(=O)N1,101.06,,,101.065,546.6,578.97
NC(N)=O,60.056,,132.0,60.056,421.41,317.48
CCOC(N)=O,89.09,185.0,49.0,89.094,398.99,249.16
CC(C)[C@H](N)C(O)=O,117.15,,315.0,117.148,531.16,359.97
Nc1ccc(cc1)[N+]([O-])=O,138.12,332.0,146.0,138.126,592.91,423.19
Nc1ccccc1,93.13,184.1,-6.0,93.129,436.09,267.06
