SMILES,DB_MolecularWeight,DB_BoilingPoint,DB_MeltingPoint,Original_MolecularWeight,Original_BoilingPoint,Original_MeltingPoint
CN(C)CC(F)C(F)(F)F,159.13,,,159.126,319.85,168.36
CC(C)(C)C(C)(C)N,115.22,,,115.22,425.83,256.75
Nc1c(F)c(F)c(F)c(F)c1F,183.08,,,183.079,457.34,332.61
Cc1c(C)c(C)c(N)c(C)c1C,163.26,,,163.264,575.39,386.01
Nc1cc(Cl)c(Cl)c(Cl)c1Cl,230.9,,,230.909,605.73,436.82
Nc1ccc(Cl)c(Cl)c1Cl,196.5,,,196.464,563.32,394.38
Nc1c(Cl)c(Cl)cc(Cl)c1Cl,230.9,,,230.909,605.73,436.82
Cc1cccc(N)c1N,122.17,255.0,63.5,122.171,541.46,386.63
Nc1cccc(Cl)c1Cl,162.01,252.0,24.0,162.019,520.91,351.94
CC(C)C(C)CN,101.19,,,101.193,408.53,210.64
CC(C)C(C)(C)N,101.19,,,101.193,405.74,228.06
Nc1cc2ccccc2cc1N,158.20,,,158.204,629.08,453.14
Cc1cccc(N)c1C,121.18,221.5,-15.0,121.183,491.81,314.64
Cc1cc(C)c(N)cc1C,135.21,234.5,68.0,135.21,519.67,338.43
Nc1c(Br)cc(Br)cc1Br,329.81,300.0,-122.0,329.817,649.51,484.02
Cc1cc(C)c(N)c(C)c1,135.21,-234.0,-5.0,135.21,519.67,338.43
Nc1c(c(N)c(c(N)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,258.15,,,258.15,1061.57,927.01
CC(C)(C)c1cc(c(N)c(c1)C(C)(C)C)C(C)(C)C,261.4,,,261.453,715.9,447.12
COc1ccc(N)cc1N,138.17,,-68.0,138.17,563.88,408.86
Nc1ccc(c(N)c1)C(O)=O,152.15,,,152.153,686.97,547.23
Nc1ccc(O)c(N)c1,124.14,,,124.143,594.22,474.56
Nc1ccc(Cl)cc1Cl,162.01,245.0,-64.0,162.019,520.91,351.94
Nc1ccc(F)cc1F,129.11,,,129.109,444.59,293.28
Cc1ccc(N)c(C)c1,121.18,214.0,-14.3,121.183,491.81,314.64
O=N(=O)c(ccc1Nc2ccccc2)cc1N(=O)=O,259.22,,,259.221,891.33,642.76
Nc1ccc(N)nc1,109.13,,,109.132,544.42,423.11
CNCCNC,88.15,,,88.154,391.46,240.16
Nc1cc(Cl)ccc1Cl,162.01,251.0,50.0,162.019,520.91,351.94
OC1CSC(O)CS1,152.2,,130.0,152.24,586.02,426.52
COc1ccc(OC)c(N)c1,153.18,,,153.181,536.65,359.1
O=C1CNC(=O)CN1,114.10,,,114.104,548.08,492.96
Cc1ccc(C)c(N)c1,121.18,214.0,15.5,121.183,491.81,314.64
Nc1c(Cl)cccc1Cl,162.01,97.0,39.0,162.019,520.91,351.94
NC(=O)c1c(Cl)cccc1Cl,190.02,,198.0,190.029,597.66,413.14
CCc1cccc(CC)c1N,149.23,235.5,3.5,149.237,537.57,337.18
CC(C)c1cccc(C(C)C)c1N,177.29,,,177.291,582.45,329.72
CC(=O)Nc1c(C)cccc1C,163.22,,,163.22,569.08,356.51
Nc1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,251.12,,,251.12,772.17,607.3
CC(CNc1ccc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,,,,293.201,813.03,582.99
Nc1cncc(N)n1,110.12,,,110.12,575.24,483.38
Nc1cccc(N)n1,109.13,,,109.132,544.42,423.11
Cc1cccc(C)c1N,121.18,216.0,11.2,121.183,491.81,314.64
FC(F)(F)N(CC=O)C(F)(F)F,195.06,,,195.062,341.38,217.69
OCCOCCN(CC)CC,161.24,,,161.245,509.68,295.44
NC(CC#N)=C(C#N)C#N,,,,132.126,719.57,402.61
Nc1ocnn1,85.07,,,85.066,475.49,394.39
Cn1cnc2N=C(N)NC(=O)c12,165.15,,370.0,165.156,689.4,666.6
CCC(N)CO,89.14,,,89.138,455.39,263.92
CC(N)CN(C)C,102.18,,,102.181,398.53,246.84
NC1=CC=CC=CC1=O,121.14,,,121.139,531.06,343.03
CCC(N)(CO)CO,119.16,,,119.164,567.66,353.43
NC(F)C=O,77.06,,,77.058,365.38,223.15
CC(N)(CO)CO,105.14,,,105.137,544.78,342.16
CC(C)(N)CO,89.14,165.0,31.0,89.138,452.6,281.34
CC(C)(C)N,73.14,46.0,-72.65,73.139,360.42,220.52
Nc1ncc(Br)cc1Br,251.91,,,251.909,609.19,471.97
Nc1c(O)cccc1[N+]([O-])=O,154.12,,,154.125,673.53,534.91
Cc1cc(C)nc(N)n1,123.16,,,123.159,553.45,435.18
Cc1cc(Cl)nc(N)n1,143.57,,,143.577,568,453.83
Nc1cc(Cl)ccc1O,143.57,,140.0,143.573,559.12,421.22
Cc1cc(O)nc(N)n1,125.13,,,125.131,606.21,523.11
