Property,Model,Kernel,Anisotropic?,LML,Test_MAPD,Train_MAPD,Test_MAE,Train_MAE,Test_R2,Train_R2
Tm,4,Matern32,True,-4076.0313445920096,12.483905914543032,13.084181416402831,41.85164812369906,42.28544432808673,0.7110428174303596,0.7114023145414806
Tm,1,Matern52,True,-4087.062008769419,12.54447084643149,13.156651655171729,42.04965368327999,42.52072583105962,0.7093353248895217,0.7084887118568358
Tm,2,Matern52,True,-6158.481251119714,16.05479075563817,17.53350361769893,56.32997553998994,60.567120192781765,0.24675953488760172,0.3262047146847087
Tm,3,Matern52,True,-4094.5978494527926,12.612667236739675,13.22990661255783,42.25925771046341,42.73851265206319,0.7059993065155338,0.7060871721847775
Tm,4,Matern52,True,-4080.542105920278,12.500002287649725,13.114463962639222,41.902154744208985,42.37865046986118,0.7107205640988047,0.7103468271349722
Tb,1,RQ,False,-1209.4250680810678,4.314283562879595,4.110971651194254,19.040588947112532,18.613100174510944,0.8923549288454823,0.9074699167720328
Tb,2,RQ,False,-1954.613967373819,5.064355966350393,2.6862417411456208,23.14666234970111,12.267882387246352,0.677918719428019,0.9574567386986064
Tb,3,RQ,False,-1207.4496318063939,4.379927647528868,4.091694052472559,19.478687999787695,18.53516677519057,0.859437240688293,0.9082590000130166
Tb,4,RQ,False,-950.8411223944317,3.962440198134872,1.1670156745610565,17.440948050518774,5.305753595339859,0.8915451349688959,0.9913023991235769
Tb,1,RBF,False,-1247.2777637671807,4.366276056230521,4.395226859538534,19.38644021784879,19.88189336312654,0.8882796604604344,0.8905678919891487
Tb,2,RBF,False,-2444.2603137140186,5.630889054562859,5.5006635217526085,26.186354501863697,25.299556676908217,0.5001018945782647,0.7952656843140284
Tb,3,RBF,False,-1252.691570580243,4.492425436816525,4.399824958830646,20.25689168929318,19.905061406322268,0.7825086956929168,0.890210645672451
Tb,4,RBF,False,-1211.299676867021,4.345068152173996,4.312067342437793,19.360681958219413,19.508977631141516,0.8802615826590131,0.8965053863614043
Tb,1,Matern12,False,-1122.6183753616178,4.197453039075598,2.939807074357225,18.50636805025221,13.277105883597134,0.8950420222529676,0.9530995794619692
Tb,2,Matern12,False,-2152.8107601910056,5.21443174636931,3.405636529267106,23.86408040382592,15.534130165339697,0.5751902058778864,0.934001977776494
Tb,3,Matern12,False,-1123.0997807157091,4.2266309553160974,2.9439041203828684,18.705978775578565,13.2971970680744,0.8807921163167761,0.9529609263601296
Tb,4,Matern12,False,-1113.4373851845367,4.208406592889697,2.8130493264960905,18.586414594079805,12.702051536162797,0.886160194097567,0.9571209972696616
Tb,1,Matern32,False,-1202.5031791099996,4.2786256580512765,4.189352191003178,18.930964419717846,18.96707204124131,0.8955160210633007,0.9026041175752948
Tb,2,Matern32,False,-2351.9715907994773,5.375449373631755,3.5636880187598425,24.772820277083085,16.272220458075996,0.5093270680191777,0.9255408011784847
Tb,3,Matern32,False,-1205.3186683296262,4.378584499985759,4.193252631688633,19.627297292848898,18.987767007435952,0.8390118443366619,0.902346753924755
Tb,4,Matern32,False,-1184.2240085758121,4.322768400648683,4.107858430919417,19.190092769500584,18.59515278764244,0.8821172717009299,0.9070018357309659
Tb,1,Matern52,False,-1219.6875225421154,4.3019797727395135,4.291886696993465,19.09304007273552,19.42394940658795,0.8932354062616744,0.8973063406016886
Tb,2,Matern52,False,-2385.069393086437,5.454125772154896,3.752578190587118,25.096340247093565,17.114424169554958,0.5077326269154293,0.9179535481072966
Tb,3,Matern52,False,-1223.621265952862,4.419643526209311,4.292433298276878,19.909674626613043,19.429529173050838,0.8077992766789238,0.8971875181777148
Tb,4,Matern52,False,-1197.7084655674048,4.322365737126728,4.2376810487314325,19.21570967482849,19.18034326149557,0.8823383783793519,0.9007150027149687
Tb,1,RQ,True,-1209.4250430555003,4.31433990385501,4.110802690098574,19.040768092339782,18.612334669815397,0.8923532384176783,0.9074783886594007
Tb,2,RQ,True,-1954.6139706771614,5.064374174847526,2.686292832890273,23.146729926977443,12.268122699529172,0.6779194148457117,0.9574556026875477
Tb,3,RQ,True,-1207.4123881648761,4.381059484930776,4.087826183107677,19.48210303649453,18.517339610355766,0.8596889725342778,0.9084794881592873
Tb,4,RQ,True,-949.7390116584602,3.955729829101964,1.1598937988481726,17.406614666367208,5.275066483992804,0.8928649339290365,0.9913888706635784
Tb,1,RBF,True,-1246.2606619390972,4.353424101985983,4.3272986702340575,19.393221069981614,19.573618109495257,0.8848573887945212,0.8952961193030482
Tb,2,RBF,True,-2444.260313717423,5.630889203644331,5.500663228916823,26.186355531868166,25.29955504642095,0.5001016861461125,0.7952657069344101
Tb,3,RBF,True,-1251.8822455350437,4.476930322989416,4.324440498024269,20.250434999166938,19.56318464872651,0.7648642692938913,0.8953727178708819
Tb,4,RBF,True,-1209.9567109546733,4.3455888966241165,4.311515993872556,19.353822712367567,19.504209929021883,0.8803912901997644,0.8968057244838348
Tb,1,Matern12,True,-1122.1418791499636,4.211599157722697,2.9375514918415355,18.58097182746751,13.26605537311602,0.8940806935992351,0.9531767365551732
Tb,2,Matern12,True,-2152.81147729834,5.214409290964273,3.4056435813286483,23.863893481286773,15.534156126816514,0.5752111142110256,0.9340016335479939
Tb,3,Matern12,True,-1122.6373203380535,4.242671589439746,2.941598136434755,18.793297583143254,13.28591236708207,0.8784271035824758,0.9530386906854955
Tb,4,Matern12,True,-1112.6397772387531,4.229196475839992,2.813704420703541,18.698805385850722,12.703475911618028,0.884507652429533,0.9571231408470511
Tb,1,Matern32,True,-1202.1597347381107,4.277358524134174,4.192994611495713,18.929103660885648,18.98429914381924,0.8954456159661353,0.9024504809798355
Tb,2,Matern32,True,-2351.9715907844084,5.375446817679914,3.563673473587059,24.772811111267675,16.27215569552017,0.5093268705606053,0.925541360626745
Tb,3,Matern32,True,-1205.089072488469,4.376645191107991,4.196238773641365,19.619656732931503,19.002135631590704,0.8386513831875988,0.9022202885407862
Tb,4,Matern32,True,-1183.7982004656774,4.3217988219144905,4.105344408077985,19.189044914799435,18.584101148305567,0.8818018140601092,0.9071471372438152
Tb,1,Matern52,True,-1218.7647248732878,4.306174081217572,4.295881518955504,19.111358222635406,19.4427848827592,0.8933462289784514,0.8971650620549952
Tb,2,Matern52,True,-2427.0223753814425,5.772937913673093,5.098898423621834,26.600062729698777,23.398244805634345,0.5504073146783248,0.8430246487557048
Tb,3,Matern52,True,-1222.90955957994,4.4214106892600205,4.296511733108332,19.911068378112965,19.448530633682168,0.8077010941449914,0.8970476909013088
Tb,4,Matern52,True,-1196.7468059522994,4.323170969169198,4.239274209652046,19.22345690300218,19.185922379607092,0.8821114906729723,0.9007592771306083
Tc,1,RQ,False,-22.41210939892858,4.488873413789264,3.218762322036546,23.141023864075013,17.907497106980088,0.8945716434065123,0.9507880574005388
