Mol. wt.,JR Vc /(cm3 mol-1),CRC Vc /(cm3 mol-1)
124.20799999999994,373.5,374.0
100.039,208.5,219.0
128.17399999999995,409.5,408.0
72.15099999999997,304.5,311.6
61.04000000000001,173.5,175.0
268.529,1099.5,1216.0
266.51300000000003,1080.5,1196.0
142.2420000000001,556.5,546.0
128.2589999999999,539.5,547.0
188.22300000000013,587.5,586.0
158.24100000000016,563.5,592.0
144.25800000000012,558.5,555.0
144.25800000000012,552.5,577.0
142.2420000000001,545.5,560.0
142.2420000000001,545.5,560.0
142.2420000000001,545.5,560.0
142.2420000000001,545.5,560.0
126.2429999999999,520.5,529.0
394.772,1603.5,1916.0
254.50200000000032,1043.5,1167.0
284.48399999999947,1067.5,1251.0
270.5009999999999,1062.5,1157.0
252.4860000000003,1024.5,1119.0
128.21499999999992,500.5,489.0
114.2319999999999,483.5,490.0
144.26200000000014,541.5,547.0
174.1960000000001,531.5,520.0
125.21499999999992,509.5,494.0
144.21400000000014,507.5,522.0
130.23099999999994,502.5,490.0
130.23099999999994,496.5,519.0
130.23099999999994,496.5,515.0
128.21499999999992,489.5,497.0
128.21499999999992,489.5,497.0
128.21499999999992,489.5,497.0
112.21599999999992,464.5,464.0
112.21599999999992,463.5,471.0
112.21599999999992,463.5,472.0
129.24699999999993,512.5,494.0
190.33000000000013,711.5,746.0
69.06299999999999,187.5,185.0
44.05300000000001,126.5,138.0
132.159,365.5,410.0
278.3539999999997,847.5,806.0
370.0549999999999,625.5,644.0
212.42100000000028,875.5,938.0
242.40300000000025,899.5,1002.0
228.42000000000027,894.5,961.0
210.40500000000023,856.5,933.0
168.064,353.5,322.0
120.02,220.5,210.0
134.04700000000005,271.5,273.0
86.13399999999994,332.5,313.0
72.15099999999997,315.5,310.0
132.115,363.5,343.0
83.13399999999996,341.5,320.0
102.13299999999994,339.5,347.0
88.14999999999993,334.5,331.0
88.14999999999993,328.5,340.0
88.14999999999993,328.5,325.0
86.13399999999994,321.5,324.0
86.13399999999996,321.5,319.0
70.13499999999998,296.5,301.0
70.13499999999998,295.5,301.0
148.24900000000014,543.5,559.0
192.25800000000007,625.5,661.0
166.01999999999998,295.5,329.0
238.024,395.5,380.0
200.028,341.5,316.0
300.0419999999999,503.5,424.0
262.04599999999994,459.5,434.0
538.066,881.5,892.0
338.03799999999995,557.5,523.0
164.07300000000004,345.5,366.0
218.043,388.5,409.0
388.0449999999999,638.5,603.0
350.04899999999986,606.5,555.0
338.03799999999995,557.5,552.0
300.0419999999999,525.5,462.0
238.024,395.5,396.0
200.053,370.5,369.0
350.0489999999999,584.5,561.0
338.03799999999995,557.5,585.0
338.03799999999995,557.5,511.0
272.09399999999994,553.5,464.0
488.0589999999999,800.5,846.0
438.0519999999999,719.5,738.0
166.01999999999998,273.5,274.0
288.03099999999995,476.5,463.0
264.04299999999995,457.5,496.0
188.017,314.5,301.0
236.06099999999995,452.5,423.0
94.11299999999996,229.5,283.0
136.15000000000006,401.5,407.0
86.13799999999995,267.5,283.0
